Date,USD,EUR
1988-05-13,449.5,347.54
1988-05-16,453.25,351.42
1988-05-17,454.7,355.69
1988-05-18,454.0,355.1
1988-05-19,457.9,357.25
1988-05-20,454.9,355.31
1988-05-23,457.25,356.75
1988-05-24,457.25,356.95
1988-05-25,453.9,354.65
1988-05-26,453.25,354.68
1988-05-27,452.0,355.5
1988-05-30,452.0,355.5
1988-05-31,455.5,360.76
1988-06-01,456.75,361.71
1988-06-02,453.7,359.53
1988-06-03,464.7,368.41
1988-06-06,464.55,366.27
1988-06-07,464.4,365.16
1988-06-08,457.85,360.78
1988-06-09,455.45,359.4
1988-06-10,457.6,361.13
1988-06-13,449.0,355.49
1988-06-14,446.5,357.4
1988-06-15,452.0,363.29
1988-06-16,453.9,364.94
1988-06-17,450.25,361.89
1988-06-20,454.2,366.27
1988-06-21,451.65,364.02
1988-06-22,448.5,365.6
1988-06-23,447.8,366.65
1988-06-24,443.25,368.52
1988-06-27,443.3,369.82
1988-06-28,443.85,368.09
1988-06-29,433.55,363.78
1988-06-30,436.55,364.4
1988-07-01,436.85,364.97
1988-07-04,437.55,367.55
1988-07-05,437.5,366.19
1988-07-06,436.8,365.09
1988-07-07,440.9,367.18
1988-07-08,439.4,369.74
1988-07-11,436.8,369.56
1988-07-12,433.8,365.61
1988-07-13,435.0,368.29
1988-07-14,440.75,373.48
1988-07-15,439.1,377.64
1988-07-18,435.65,375.8
1988-07-19,436.25,372.93
1988-07-20,444.8,377.47
1988-07-21,444.75,374.92
1988-07-22,442.2,370.28
